id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
-2,-2,-2,-2.0,-2.0,-2,-2.0,퓨엘앳센티넬IFC
661043532,앤드,애견카페,126.53903,37.50088,37,4.62,앤드
-2,-2,-2,-2.0,-2.0,-2,-2.0,에스프레사멘테일리부띠크모나코점 부띠크모나코점
1915119612,카페다소,"카페,디저트",126.89216,35.139175,112,4.61,카페다소
37453002,CAFE MERCI,카페,127.48988,36.63244,51,4.34,CAFEMERCI
1752019224,알랑가,기업,128.74518,35.501526,-1,-1.0,알랑가
-2,-2,-2,-2.0,-2.0,-2,-2.0,엔제리너스 신도림테크노점
21140316,우리커피숍,카페,127.207726,37.536728,-1,-1.0,우리커피숍
36469904,스타벅스 중랑구청점,카페,127.09559,37.60548,4208,4.47,스타벅스중랑구청점 중랑구청점
11859574,삼성화랑,"갤러리,화랑",127.0232,37.524323,88,4.52,삼성화랑
-2,-2,-2,-2.0,-2.0,-2,-2.0,바빈스커피 등촌점
13160452,클라우드9,양식,127.06494,37.615955,64,-1.0,클라우드9
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페마루니
37264484,연세숲정신건강의학과의원,정신건강의학과,126.91887,37.63871,190,4.57,숲
31842055,커피오터스,카페,127.091194,37.588623,22,4.38,커피오터스
1018438814,카페애일,"카페,디저트",127.02983,37.58598,95,4.62,카페애일
35958022,스타벅스 문래역점,카페,126.895256,37.517445,5671,4.41,스타벅스 문래역점
35201862,스타벅스 서강대점,카페,126.93766,37.552345,1651,4.51,스타벅스 서강대점
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페톨릭스 페톨릭스
20729859,카카오독 애견카페,애견카페,126.86324,37.530766,23,4.34,카카오독애견카페
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페베네무교사거리점 무교사거리점
12951314,탐앤탐스 티티클럽노원점,카페,127.06375,37.655354,1671,4.3,티티까페
11678781,그랜드하얏트서울 테라스,뷔페,126.997444,37.539524,3853,4.27,더테라스
35338254,필라테스안,필라테스,126.886734,37.6439,2,-1.0,안테스
13297200,꽃밭에서,"꽃집,꽃배달",127.04361,37.20829,71,4.59,꽃밭에서
-2,-2,-2,-2.0,-2.0,-2,-2.0,메디찌커피숍
1564165225,247 커피,카페,127.47616,36.635757,13,4.44,247커피
1272502090,달조각공방,공방,126.93682,37.505463,13,4.67,달조각
1685529334,스타벅스 봉은사로선정릉점,카페,127.04841,37.51129,1752,4.53,스타벅스 봉은사로선정릉점
-2,-2,-2,-2.0,-2.0,-2,-2.0,오리지널빈스 서울스퀘어점
-2,-2,-2,-2.0,-2.0,-2,-2.0,할리스 백석예술대점
