상호명,지점명,상권업종소분류명,지번주소,도로명주소,경도,위도,상호지점명,id,name,category,visitorReviewCount,visitorReviewScore
백미당여의도SK증권빌딩점,,커피전문점/카페/다방,서울특별시 영등포구 여의도동 45-1,서울특별시 영등포구 국제금융로8길 31,126.928006189687,37.5197765092138,백미당여의도SK증권빌딩점,1977781290,백미당 여의도SK증권빌딩점,카페,421,4.34
갤러리전통찻집,,커피전문점/카페/다방,서울특별시 강북구 수유동 501,서울특별시 강북구 화계사길 46,127.010724778005,37.6334710162382,갤러리전통찻집,1713923029,갤러리 전통 찻집,차,27,4.63
로우커피스텐드,,커피전문점/카페/다방,서울특별시 성동구 성수동1가 8-16,서울특별시 성동구 왕십리로4길 28-2,127.046598124044,37.5471130789411,로우커피스텐드,1168698330,로우커피스탠드,카페,885,4.44
커피빈,코리아삼성봉은사로점,커피전문점/카페/다방,서울특별시 강남구 삼성동 162-2,서울특별시 강남구 봉은사로 628,127.064148493946,37.5146624038385,커피빈 코리아삼성봉은사로점,18810623,커피빈 삼성봉은사로점,카페,772,4.45
스타벅스,신림포도몰점,커피전문점/카페/다방,서울특별시 관악구 신림동 1641-2,서울특별시 관악구 신림로 330,126.930215862294,37.4838447505118,스타벅스 신림포도몰점,13157495,스타벅스 신림타임스트림점,카페,5471,4.48
커피빈,코리아신촌점,커피전문점/카페/다방,서울특별시 서대문구 창천동 18-29,서울특별시 서대문구 연세로 8-1,126.937284068375,37.5563345623891,커피빈 코리아신촌점,20561789,커피빈 신촌점,카페,1805,4.49
앤티앤스프레즐,롯데백화점관악점,커피전문점/카페/다방,서울특별시 관악구 봉천동 729-22,서울특별시 관악구 보라매로3길 31,126.925065709878,37.4905378525365,앤티앤스프레즐 롯데백화점관악점,1445067589,앤티앤스 롯데백화점 관악점,베이커리,251,4.39
더카페,가산이앤씨8차점,커피전문점/카페/다방,서울특별시 금천구 가산동 327-27,서울특별시 금천구 가산디지털1로 45,126.88553410696,37.4698979745484,더카페 가산이앤씨8차점,1174943901,더카페 가산이앤씨8차점,카페,93,4.57
카페락앤락,한국방송통신대점,커피전문점/카페/다방,서울특별시 종로구 동숭동 169-1,서울특별시 종로구 대학로 86,127.00326936497,37.5791838428947,카페락앤락 한국방송통신대점,38276396,카페락앤락 한국방송통신대점,카페,641,4.41
수카페&쿠킹스튜디오,,커피전문점/카페/다방,서울특별시 서대문구 창천동 510-11,서울특별시 서대문구 신촌로1길 7,126.928114974009,37.5588106254793,수카페&쿠킹스튜디오,1204970824,수카페&쿠킹스튜디오,"카페,디저트",120,4.71
레이지나인,,커피전문점/카페/다방,서울특별시 서대문구 연희동 137-11,서울특별시 서대문구 연희로15길 5,126.931143678291,37.5678484683045,레이지나인,1354328088,레이지나인,"카페,디저트",54,4.65
에잇어클락,,커피전문점/카페/다방,서울특별시 성동구 성수동2가 299-241,서울특별시 성동구 아차산로7길 45,127.055727866021,37.5491327097111,에잇어클락,1381618822,카페 에잇어클락,"카페,디저트",8,평점없음
무진장,,커피전문점/카페/다방,서울특별시 용산구 이태원동 34-58,서울특별시 용산구 녹사평대로 168-18,126.989896781885,37.5332070379524,무진장,1499717815,무진장,카페,590,4.51
넵타임커피,,커피전문점/카페/다방,서울특별시 강남구 논현동 85-15,서울특별시 강남구 논현로132길 33,127.033107161757,37.5156738486355,넵타임커피,1238946598,넵타임커피,"카페,디저트",118,4.48
주커피개포점,개포점,커피전문점/카페/다방,서울특별시 강남구 개포동 157-9,서울특별시 강남구 선릉로4길 19,127.06256443277,37.483031736065,주커피개포점 개포점,21728133,주커피 개포점,카페,161,4.15
AREACOFFEE,,커피전문점/카페/다방,서울특별시 마포구 공덕동 256-13,서울특별시 마포구 만리재로 15,126.952750517174,37.5445790101306,AREACOFFEE,1264132795,에어리어커피,"카페,디저트",449,4.49
몽루,,커피전문점/카페/다방,서울특별시 용산구 효창동 3-57,서울특별시 용산구 임정로 93-4,126.960840816761,37.5470833033025,몽루,37327219,몽루,"카페,디저트",49,4.35
파크15,,커피전문점/카페/다방,서울특별시 용산구 용산동5가 2-28,서울특별시 용산구 한강대로38길 35,126.970202647475,37.5287659821509,파크15,1149133131,파크15,카페,375,4.51
카페트리빈,트리빈,커피전문점/카페/다방,서울특별시 중구 장교동 1,서울특별시 중구 삼일대로 363,126.987038796717,37.5671519360146,카페트리빈 트리빈,1583644157,카페 트리빈,"카페,디저트",59,4.43
아틀리에송,,커피전문점/카페/다방,서울특별시 종로구 운니동 38-2,서울특별시 종로구 율곡로6길 23,126.989384588507,37.5761734450515,아틀리에송,1789650913,아틀리에 송,"카페,디저트",147,4.58
